#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"DisplayName","Direction","Action"
"Cast to Device functionality (qWave-TCP-Out)","Outbound","Allow"
"Core Networking - Packet Too Big (ICMPv6-Out)","Outbound","Allow"
"Core Networking - IPv6 (IPv6-In)","Inbound","Allow"
"Delivery Optimization (UDP-In)","Inbound","Allow"
"mDNS (UDP-Out)","Outbound","Allow"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow"
"Core Networking - Parameter Problem (ICMPv6-Out)","Outbound","Allow"
"Core Networking - Router Advertisement (ICMPv6-In)","Inbound","Allow"
"Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","Inbound","Allow"
"Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","Inbound","Allow"
"File and Printer Sharing (Spooler Service - RPC)","Inbound","Allow"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow"
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","Inbound","Allow"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow"
"File and Printer Sharing (Echo Request - ICMPv4-Out)","Outbound","Allow"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow"
"File and Printer Sharing (SMB-Out)","Outbound","Allow"
"Core Networking - Router Solicitation (ICMPv6-Out)","Outbound","Allow"
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)","Inbound","Allow"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow"
"Microsoft Media Foundation Network Source IN [UDP 5004-5009]","Inbound","Allow"
"Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","Outbound","Allow"
"Windows Device Management Enrollment Service (TCP out)","Outbound","Allow"
"Windows Management Instrumentation (ASync-In)","Inbound","Allow"
"mDNS (UDP-Out)","Outbound","Allow"
"Windows Management Instrumentation (WMI-In)","Inbound","Allow"
"Windows Remote Management (HTTP-In)","Inbound","Allow"
"Cast to Device functionality (qWave-UDP-In)","Inbound","Allow"
"Delivery Optimization (TCP-In)","Inbound","Allow"
"Windows Device Management Certificate Installer (TCP out)","Outbound","Allow"
"File and Printer Sharing (NB-Name-In)","Inbound","Allow"
"Core Networking - Multicast Listener Done (ICMPv6-Out)","Outbound","Allow"
"Core Networking - Teredo (UDP-Out)","Outbound","Allow"
"Windows Management Instrumentation (WMI-Out)","Outbound","Allow"
"Core Networking - Router Solicitation (ICMPv6-In)","Inbound","Allow"
"Windows Management Instrumentation (DCOM-In)","Inbound","Allow"
"Cast to Device functionality (qWave-UDP-Out)","Outbound","Allow"
"File and Printer Sharing (NB-Session-Out)","Outbound","Allow"
"Core Networking - Group Policy (LSASS-Out)","Outbound","Allow"
"DIAL protocol server (HTTP-In)","Inbound","Allow"
"File and Printer Sharing (Spooler Service - RPC-EPMAP)","Inbound","Allow"
"File and Printer Sharing (Echo Request - ICMPv6-Out)","Outbound","Allow"
"Core Networking - Router Advertisement (ICMPv6-Out)","Outbound","Allow"
"Microsoft Media Foundation Network Source IN [TCP 554]","Inbound","Allow"
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)","Inbound","Allow"
"Core Networking - IPHTTPS (TCP-Out)","Outbound","Allow"
"Core Networking - Internet Group Management Protocol (IGMP-Out)","Outbound","Allow"
"File and Printer Sharing (NB-Session-In)","Inbound","Allow"
"Core Networking - Parameter Problem (ICMPv6-In)","Inbound","Allow"
"Core Networking - DNS (UDP-Out)","Outbound","Allow"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow"
"Cast to Device functionality (qWave-TCP-In)","Inbound","Allow"
"File and Printer Sharing (Echo Request - ICMPv4-In)","Inbound","Allow"
"Core Networking - Teredo (UDP-In)","Inbound","Allow"
"Microsoft Media Foundation Network Source OUT [TCP ALL]","Outbound","Allow"
"Remote Desktop - Shadow (TCP-In)","Inbound","Allow"
"File and Printer Sharing (SMB-In)","Inbound","Allow"
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)","Outbound","Allow"
"AllJoyn Router (UDP-Out)","Outbound","Allow"
"Windows Device Management Device Enroller (TCP out)","Outbound","Allow"
"Core Networking - Multicast Listener Query (ICMPv6-Out)","Outbound","Allow"
"Cast to Device SSDP Discovery (UDP-In)","Inbound","Allow"
"Core Networking - Time Exceeded (ICMPv6-Out)","Outbound","Allow"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow"
"mDNS (UDP-In)","Inbound","Allow"
"AllJoyn Router (TCP-Out)","Outbound","Allow"
"Core Networking - Multicast Listener Report (ICMPv6-Out)","Outbound","Allow"
"Cast to Device UPnP Events (TCP-In)","Inbound","Allow"
"Core Networking - Packet Too Big (ICMPv6-In)","Inbound","Allow"
"Core Networking - Dynamic Host Configuration Protocol (DHCP-Out)","Outbound","Allow"
"Core Networking - IPHTTPS (TCP-In)","Inbound","Allow"
"AllJoyn Router (TCP-In)","Inbound","Allow"
"AllJoyn Router (UDP-In)","Inbound","Allow"
"Connected User Experiences and Telemetry","Outbound","Allow"
"File and Printer Sharing (NB-Datagram-Out)","Outbound","Allow"
"Core Networking - Multicast Listener Done (ICMPv6-In)","Inbound","Allow"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow"
"Core Networking - Destination Unreachable (ICMPv6-In)","Inbound","Allow"
"Windows Remote Management (HTTP-In)","Inbound","Allow"
"File and Printer Sharing (Echo Request - ICMPv6-In)","Inbound","Allow"
"mDNS (UDP-Out)","Outbound","Allow"
