#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName"
"ADWS","Active Directory Web Services"
"BFE","Base Filtering Engine"
"BrokerInfrastructure","Background Tasks Infrastructure Service"
"camsvc","Capability Access Manager Service"
"cbdhsvc_217d1e","Clipboard User Service_217d1e"
"CDPSvc","Connected Devices Platform Service"
"CDPUserSvc_217d1e","Connected Devices Platform User Service_217d1e"
"CertPropSvc","Certificate Propagation"
"CoreMessagingRegistrar","CoreMessaging"
"CryptSvc","Cryptographic Services"
"DcomLaunch","DCOM Server Process Launcher"
"Dfs","DFS Namespace"
"DFSR","DFS Replication"
"Dhcp","DHCP Client"
"DiagTrack","Connected User Experiences and Telemetry"
"DispBrokerDesktopSvc","Display Policy Service"
"DNS","DNS Server"
"Dnscache","DNS Client"
"DPS","Diagnostic Policy Service"
"DsSvc","Data Sharing Service"
"EventLog","Windows Event Log"
"EventSystem","COM+ Event System"
"FontCache","Windows Font Cache Service"
"gpsvc","Group Policy Client"
"iphlpsvc","IP Helper"
"IsmServ","Intersite Messaging"
"Kdc","Kerberos Key Distribution Center"
"KeyIso","CNG Key Isolation"
"LanmanServer","Server"
"LanmanWorkstation","Workstation"
"lmhosts","TCP/IP NetBIOS Helper"
"LSM","Local Session Manager"
"MDCoreSvc","Microsoft Defender Core Service"
"mpssvc","Windows Defender Firewall"
"MSDTC","Distributed Transaction Coordinator"
"NcbService","Network Connection Broker"
"Netlogon","Netlogon"
"netprofm","Network List Service"
"NlaSvc","Network Location Awareness"
"nsi","Network Store Interface Service"
"NTDS","Active Directory Domain Services"
"PcaSvc","Program Compatibility Assistant Service"
"PlugPlay","Plug and Play"
"PolicyAgent","IPsec Policy Agent"
"Power","Power"
"ProfSvc","User Profile Service"
"RasMan","Remote Access Connection Manager"
"RpcEptMapper","RPC Endpoint Mapper"
"RpcSs","Remote Procedure Call (RPC)"
"SamSs","Security Accounts Manager"
"Schedule","Task Scheduler"
"SENS","System Event Notification Service"
"SessionEnv","Remote Desktop Configuration"
"ShellHWDetection","Shell Hardware Detection"
"SplunkForwarder","SplunkForwarder"
"Spooler","Print Spooler"
"sshd","OpenSSH SSH Server"
"SstpSvc","Secure Socket Tunneling Protocol Service"
"StateRepository","State Repository Service"
"StorSvc","Storage Service"
"SysMain","SysMain"
"Sysmon64","Sysmon64"
"SystemEventsBroker","System Events Broker"
"TabletInputService","Touch Keyboard and Handwriting Panel Service"
"TermService","Remote Desktop Services"
"Themes","Themes"
"TimeBrokerSvc","Time Broker"
"TokenBroker","Web Account Manager"
"UALSVC","User Access Logging Service"
"UmRdpService","Remote Desktop Services UserMode Port Redirector"
"UserManager","User Manager"
"UsoSvc","Update Orchestrator Service"
"VaultSvc","Credential Manager"
"vds","Virtual Disk"
"Velociraptor","Velociraptor Service"
"W32Time","Windows Time"
"Wcmsvc","Windows Connection Manager"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service"
"WinDefend","Microsoft Defender Antivirus Service"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Windows Management Instrumentation"
"WinRM","Windows Remote Management (WS-Management)"
"WLMS","Windows Licensing Monitoring Service"
"WpnService","Windows Push Notifications System Service"
"WpnUserService_217d1e","Windows Push Notifications User Service_217d1e"
