"Name","DisplayName","StartType"
"ADWS","Active Directory Web Services","Automatic"
"Appinfo","Application Information","Manual"
"BFE","Base Filtering Engine","Automatic"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Automatic"
"camsvc","Capability Access Manager Service","Manual"
"cbdhsvc_13d07e","Clipboard User Service_13d07e","Automatic"
"CDPSvc","Connected Devices Platform Service","Automatic"
"CDPUserSvc_13d07e","Connected Devices Platform User Service_13d07e","Automatic"
"CertPropSvc","Certificate Propagation","Manual"
"CoreMessagingRegistrar","CoreMessaging","Automatic"
"CryptSvc","Cryptographic Services","Automatic"
"DcomLaunch","DCOM Server Process Launcher","Automatic"
"Dfs","DFS Namespace","Automatic"
"DFSR","DFS Replication","Automatic"
"Dhcp","DHCP Client","Automatic"
"DiagTrack","Connected User Experiences and Telemetry","Automatic"
"DispBrokerDesktopSvc","Display Policy Service","Automatic"
"DNS","DNS Server","Automatic"
"Dnscache","DNS Client","Automatic"
"DPS","Diagnostic Policy Service","Automatic"
"DsSvc","Data Sharing Service","Manual"
"EventLog","Windows Event Log","Automatic"
"EventSystem","COM+ Event System","Automatic"
"FontCache","Windows Font Cache Service","Automatic"
"gpsvc","Group Policy Client","Automatic"
"iphlpsvc","IP Helper","Automatic"
"IsmServ","Intersite Messaging","Automatic"
"Kdc","Kerberos Key Distribution Center","Automatic"
"KeyIso","CNG Key Isolation","Manual"
"LanmanServer","Server","Automatic"
"LanmanWorkstation","Workstation","Automatic"
"LicenseManager","Windows License Manager Service","Manual"
"lmhosts","TCP/IP NetBIOS Helper","Manual"
"LSM","Local Session Manager","Automatic"
"MDCoreSvc","Microsoft Defender Core Service","Automatic"
"mpssvc","Windows Defender Firewall","Automatic"
"MSDTC","Distributed Transaction Coordinator","Automatic"
"NcbService","Network Connection Broker","Manual"
"Netlogon","Netlogon","Automatic"
"netprofm","Network List Service","Manual"
"NlaSvc","Network Location Awareness","Automatic"
"nsi","Network Store Interface Service","Automatic"
"NTDS","Active Directory Domain Services","Automatic"
"PcaSvc","Program Compatibility Assistant Service","Automatic"
"PlugPlay","Plug and Play","Manual"
"Power","Power","Automatic"
"ProfSvc","User Profile Service","Automatic"
"RasMan","Remote Access Connection Manager","Automatic"
"RpcEptMapper","RPC Endpoint Mapper","Automatic"
"RpcSs","Remote Procedure Call (RPC)","Automatic"
"SamSs","Security Accounts Manager","Automatic"
"Schedule","Task Scheduler","Automatic"
"SENS","System Event Notification Service","Automatic"
"SessionEnv","Remote Desktop Configuration","Manual"
"ShellHWDetection","Shell Hardware Detection","Automatic"
"SplunkForwarder","SplunkForwarder","Automatic"
"Spooler","Print Spooler","Automatic"
"sshd","OpenSSH SSH Server","Automatic"
"SstpSvc","Secure Socket Tunneling Protocol Service","Manual"
"StateRepository","State Repository Service","Automatic"
"StorSvc","Storage Service","Automatic"
"SysMain","SysMain","Automatic"
"Sysmon64","Sysmon64","Automatic"
"SystemEventsBroker","System Events Broker","Automatic"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Manual"
"TermService","Remote Desktop Services","Manual"
"Themes","Themes","Automatic"
"TimeBrokerSvc","Time Broker","Manual"
"TokenBroker","Web Account Manager","Manual"
"UALSVC","User Access Logging Service","Automatic"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Manual"
"UserManager","User Manager","Automatic"
"UsoSvc","Update Orchestrator Service","Automatic"
"VaultSvc","Credential Manager","Manual"
"vds","Virtual Disk","Manual"
"Velociraptor","Velociraptor Service","Automatic"
"W32Time","Windows Time","Automatic"
"Wcmsvc","Windows Connection Manager","Automatic"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Manual"
"WinDefend","Microsoft Defender Antivirus Service","Automatic"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Manual"
"Winmgmt","Windows Management Instrumentation","Automatic"
"WinRM","Windows Remote Management (WS-Management)","Automatic"
"WLMS","Windows Licensing Monitoring Service","Automatic"
"WpnService","Windows Push Notifications System Service","Automatic"
"WpnUserService_13d07e","Windows Push Notifications User Service_13d07e","Automatic"
"wuauserv","Windows Update","Manual"
